sector,market_cap,country,industry,p_e,n,volume,price,ticker,company,change
Consumer Goods,427.34M,USA,Recreational Vehicles,14.89,41,"53,172",33.05,ACAT,Arctic Cat Inc.,-0.72%
Financial,4.20B,USA,REIT - Residential,71.43,42,"373,834",40.00,ACC,"American Campus Communities, Inc.",0.08%
Consumer Goods,982.08M,USA,Office Supplies,10.43,43,"955,206",8.76,ACCO,ACCO Brands Corporation,-3.63%
Financial,-,USA,Exchange Traded Fund,-,44,0,25.12,ACCU,AdvisorShares Accuvest Global Opport ETF,0.00%
Financial,37.93B,Switzerland,Property & Casualty Insurance,11.85,45,"579,917",114.34,ACE,ACE Limited,0.27%
Basic Materials,610.26M,USA,Chemicals - Major Diversified,26.92,46,"46,673",21.00,ACET,Aceto Corp.,-1.91%
Financial,61.57M,USA,Regional - Southeast Banks,-,47,"2,200",3.97,ACFC,Atlantic Coast Financial Corporation,-2.93%
Industrial Goods,26.43M,USA,Aerospace/Defense Products & Services,-,48,"211,021",1.00,ACFN,"Acorn Energy, Inc.",-0.99%
Financial,1.86B,USA,Closed-End Fund - Debt,14.98,49,"243,305",7.64,ACG,"AllianceBernstein Income Fund, Inc.",0.53%
Financial,7.40B,Bermuda,Property & Casualty Insurance,10.31,50,"235,316",57.32,ACGL,Arch Capital Group Ltd.,0.30%
Basic Materials,7.51B,China,Aluminum,-,51,"105,360",10.67,ACH,Aluminum Corporation Of China Limited,-2.02%
Healthcare,3.72B,USA,Specialized Health Services,45.26,52,"132,049",62.01,ACHC,"Acadia Healthcare Company, Inc.",-0.16%
Healthcare,1.29B,USA,Biotechnology,-,53,"2,396,340",12.87,ACHN,"Achillion Pharmaceuticals, Inc.",-2.57%
Basic Materials,471.28M,USA,Industrial Metals & Minerals,-,54,"3,273,071",2.22,ACI,Arch Coal Inc.,-7.88%
Financial,-,USA,Exchange Traded Fund,-,55,15,65.90,ACIM,SPDR MSCI ACWI IMI ETF,-0.01%
Technology,2.24B,USA,Technical & System Software,31.89,56,"517,447",19.45,ACIW,"ACI Worldwide, Inc.",-0.36%
Technology,240.82M,USA,Semiconductor Equipment & Materials,-,57,"242,249",2.15,ACLS,Axcelis Technologies Inc.,-2.27%
