option,open_interest,symbol,volume_change,volume,open_interest_change,close,ticker,change
DEC 14 50 Call,+47,ENB141220C00050000,+47,(+800.00%),0.00%,3.60,ENB,+3.20
MAR 15 30 Call,+110,HE150320C00030000,+110,(+560.00%),0.00%,3.30,HE,+2.80
DEC 14 50 Call,"+2,644",WDR141220C00050000,"+2,644",(+411.10%),0.00%,2.30,WDR,+1.85
DEC 14 85 Call,+633,SNP141220C00085000,+633,(+400.00%),0.00%,2.50,SNP,+2.00
DEC 14 34 Call,+691,ASHR141220C00034000,+691,(+350.00%),(+212.60%),1.80,ASHR,+1.40
DEC 14 115 Call,+117,PTR141220C00115000,+117,(+320.00%),(+3900.00%),1.05,PTR,+0.80
JAN 15 18 Call,+75,GDX150117C00018000,+75,(+314.90%),(+1875.00%),1.95,GDX,+1.48
DEC 14 40 Call,+4,EEP141220C00040000,+4,(+300.00%),(+7.40%),1.60,EEP,+1.20
DEC 14 25 Call,+76,DWA141220C00025000,+76,(+250.00%),(+181.00%),0.70,DWA,+0.50
DEC 14 37 Call,+47,YINN141220C00037000,+47,(+225.00%),0.00%,1.95,YINN,+1.35
FEB 15 125 Call,+19,UTX150220C00125000,+19,(+219.00%),(+1900.00%),0.67,UTX,+0.46
DEC 14 72.5 Call,+59,SWKS141220C00072500,+59,(+200.00%),0.00%,0.90,SWKS,+0.60
JAN 15 22.5 Call,+20,KODK150117C00022500,+20,(+185.70%),0.00%,2.00,KODK,+1.30
DEC 14 15 Call,+14,HYGS141220C00015000,+14,(+183.30%),0.00%,0.85,HYGS,+0.55
DEC 14 105 Call,+783,AVGO141220C00105000,+783,(+181.80%),(+221.80%),1.55,AVGO,+1.00
DEC 14 20 Call,+327,NOAH141220C00020000,+327,(+166.70%),(+222.40%),2.40,NOAH,+1.50
DEC 14 42.5 Call,"+3,220",FXI141220C00042500,"+3,220",(+166.70%),(+32200.00%),0.64,FXI,+0.40
DEC 14 22 Call,-3,HA141220C00022000,-3,(+163.60%),(-7.30%),1.45,HA,+0.90
DEC 14 17 Call,"+3,257",CSTM141220C00017000,"+3,257",(+162.50%),(+6514.00%),1.05,CSTM,+0.65
DEC 14 21 Call,+188,RDWR141220C00021000,+188,(+160.00%),(+229.30%),1.30,RDWR,+0.80
DEC 14 55 Call,+291,LFC141220C00055000,+291,(+153.30%),0.00%,1.90,LFC,+1.15
JAN 15 75 Call,+40,UAL150117C00075000,+40,(+150.00%),(+4000.00%),0.50,UAL,+0.30
DEC 14 50 Call,+42,BOBE141220C00050000,+42,(+140.00%),(+23.50%),1.20,BOBE,+0.70
FEB 15 40 Call,+65,EEQ150220C00040000,+65,(+138.50%),0.00%,1.55,EEQ,+0.90
DEC 14 72.5 Call,+725,HCA141220C00072500,+725,(+128.60%),(+36250.00%),1.60,HCA,+0.90
DEC 14 220 Call,-333,ICPT141220C00220000,-333,(+128.60%),(-95.10%),0.80,ICPT,+0.45
DEC 14 90 Call,+24,ANET141220C00090000,+24,(+125.00%),0.00%,0.45,ANET,+0.25
DEC 14 570 Call,+71,GOOGL141220C00570000,+71,(+125.00%),(+102.90%),0.90,GOOGL,+0.50
DEC 14 50 Call,+17,CYH141220C00050000,+17,(+120.00%),(+30.90%),1.10,CYH,+0.60
DEC 14 49 Call,+142,DAL141220C00049000,+142,(+119.00%),(+330.20%),0.46,DAL,+0.25
DEC 14 110 Call,+238,ALV141220C00110000,+238,(+116.70%),0.00%,0.65,ALV,+0.35
DEC 14 45 Call,-46,SNPS141220C00045000,-46,(+116.70%),(-66.70%),0.65,SNPS,+0.35
DEC 14 565 Call,+91,GOOG141220C00565000,+91,(+112.50%),(+293.50%),0.85,GOOG,+0.45
DEC 14 72.5 Call,+626,LLY141220C00072500,+626,(+104.30%),(+4173.30%),0.94,LLY,+0.48
DEC 14 34 Call,-243,VEEV141220C00034000,-243,(+100.00%),(-82.90%),0.40,VEEV,+0.20
DEC 14 44 Call,+87,MBLY141220C00044000,+87,(+100.00%),(+75.70%),1.50,MBLY,+0.75
DEC 14 26 Call,+272,TASR141220C00026000,+272,(+100.00%),(+221.10%),0.50,TASR,+0.25
DEC 14 60 Call,"+1,069",KR141220C00060000,"+1,069",(+100.00%),(+109.30%),1.30,KR,+0.65
DEC 14 675 Call,+54,CMG141220C00675000,+54,(+93.20%),0.00%,5.70,CMG,+2.75
DEC 14 17.5 Call,+31,CRUS141220C00017500,+31,(+88.90%),0.00%,0.85,CRUS,+0.40
DEC 14 62.5 Call,+41,CHL141220C00062500,+41,(+85.70%),(+1025.00%),0.65,CHL,+0.30
DEC 14 49.5 Call,"+1,097",MSFT141220C00049500,"+1,097",(+83.30%),(+507.90%),0.44,MSFT,+0.20
JAN 15 45 Call,+55,NPSP150117C00045000,+55,(+83.30%),(+366.70%),0.55,NPSP,+0.25
JAN 15 32 Call,-21,MAT150117C00032000,-21,(+40.00%),(-39.60%),0.35,MAT,+0.10
DEC 14 85 Call,+151,NXPI141220C00085000,+151,(+80.00%),(+7550.00%),0.45,NXPI,+0.20
DEC 14 52 Call,+20,AAL141220C00052000,+20,(+77.50%),(+87.00%),0.71,AAL,+0.31
DEC 14 16 Call,+462,RFMD141220C00016000,+462,(+75.00%),(+942.90%),0.35,RFMD,+0.15
DEC 14 90 Call,+31,CME141220C00090000,+31,(+75.00%),0.00%,0.35,CME,+0.15
DEC 14 370 Call,+17,BLK141220C00370000,+17,(+70.60%),0.00%,1.45,BLK,+0.60
DEC 14 55 Call,+20,ASPS141220C00055000,+20,(+66.70%),0.00%,0.75,ASPS,+0.30
DEC 14 70 Call,-23,ABBV141220C00070000,-23,(+66.70%),(-30.70%),1.25,ABBV,+0.50
APR 15 40 Call,+50,SPNC150417C00040000,+50,(+66.70%),0.00%,1.00,SPNC,+0.40
DEC 14 93 Call,+31,MNK141220C00093000,+31,(+66.00%),(+3100.00%),3.90,MNK,+1.55
DEC 14 75 Call,-6,PKG141220C00075000,-6,(+65.20%),(-27.30%),3.80,PKG,+1.50
DEC 14 70 Call,-107,WAG141220C00070000,-107,(+65.20%),(-70.40%),0.38,WAG,+0.15
DEC 14 20 Call,+36,NSAM141220C00020000,+36,(+65.00%),(+3600.00%),1.65,NSAM,+0.65
DEC 14 150 Call,+25,CEO141220C00150000,+25,(+63.60%),(+2500.00%),0.90,CEO,+0.35
DEC 14 50 Call,+39,THC141220C00050000,+39,(+63.60%),(+278.60%),0.90,THC,+0.35
DEC 14 22.5 Call,-43,IILG141220C00022500,-43,(+40.00%),(-60.60%),0.35,IILG,+0.10
DEC 14 82.5 Call,+17,LYB141220C00082500,+17,(+40.00%),(+10.20%),1.40,LYB,+0.40
JAN 15 30 Call,+24,XONE150117C00030000,+24,(+40.00%),(+400.00%),0.35,XONE,+0.10
JAN 16 25 Call,+26,FITB160115C00025000,+26,(+38.90%),0.00%,0.50,FITB,+0.14
DEC 14 100 Call,+4,VC141220C00100000,+4,(+38.70%),(+50.00%),4.30,VC,+1.20
DEC 14 57.5 Call,+7,IDCC141220C00057500,+7,(+37.50%),(+53.80%),0.55,IDCC,+0.15
DEC 14 155 Call,+7,MHK141220C00155000,+7,(+37.50%),(+20.60%),2.75,MHK,+0.75
DEC 14 17.5 Call,-3,FLML141220C00017500,-3,(+36.40%),(-14.30%),0.75,FLML,+0.20
JUN 15 29 Call,+100,HAO150619C00029000,+100,(+36.40%),0.00%,0.75,HAO,+0.20
DEC 14 91 Call,+61,PG141220C00091000,+61,(+36.00%),(+117.30%),0.68,PG,+0.18
DEC 14 48 Call,+84,CAKE141220C00048000,+84,(+35.70%),0.00%,0.95,CAKE,+0.25
DEC 14 60 Call,-58,CAR141220C00060000,-58,(+35.10%),(-84.10%),2.50,CAR,+0.65
DEC 14 76 Call,+198,TRIP141220C00076000,+198,(+34.90%),(+66.90%),2.90,TRIP,+0.75
DEC 14 14.5 Call,+134,TZA141220C00014500,+134,(+34.80%),(+76.60%),0.31,TZA,+0.08
JAN 15 62.5 Call,"-3,068",DISH150117C00062500,"3,255",(-11.20%),(-48.50%),11.05,DISH,-1.40
DEC 14 26 Call,+5,CORN141220C00026000,+5,(+62.50%),(+13.50%),0.65,CORN,+0.25
DEC 14 120 Call,+523,SLXP141220C00120000,+523,(+62.50%),0.00%,1.30,SLXP,+0.50
JUN 15 60 Call,+11,ALLE150619C00060000,+11,(+60.70%),0.00%,4.50,ALLE,+1.70
DEC 14 16 Call,+45,EBIX141220C00016000,+45,(+60.00%),(+132.40%),1.20,EBIX,+0.45
DEC 14 50 Call,+72,CNW141220C00050000,+72,(+60.00%),(+553.80%),1.60,CNW,+0.60
DEC 14 22 Call,+11,SPXS141220C00022000,+11,(+60.00%),(+22.40%),0.40,SPXS,+0.15
JAN 15 55 Call,+258,CVLT150117C00055000,+258,(+60.00%),0.00%,0.40,CVLT,+0.15
DEC 14 35 Call,-22,SNN141220C00035000,-22,(+58.30%),(-52.40%),2.85,SNN,+1.05
DEC 14 50 Call,-22,WFM141220C00050000,-22,(+57.70%),(-29.70%),0.41,WFM,+0.15
JAN 15 20 Call,+12,SABR150117C00020000,+12,(+57.10%),0.00%,0.55,SABR,+0.20
JAN 16 18 Call,+25,LNCO160115C00018000,+25,(+56.80%),(+250.00%),2.90,LNCO,+1.05
DEC 14 16 Call,+50,NKTR141220C00016000,+50,(+55.60%),(+92.60%),0.70,NKTR,+0.25
DEC 14 25 Call,-200,TQNT141220C00025000,-200,(+55.00%),(-93.00%),1.55,TQNT,+0.55
MAY 15 52.5 Call,+11,FAST150515C00052500,+11,(+54.50%),0.00%,0.85,FAST,+0.30
DEC 14 115 Call,+9,HAIN141220C00115000,+9,(+34.60%),(+69.20%),1.75,HAIN,+0.45
DEC 14 61.5 Call,+68,MRK141220C00061500,+68,(+34.40%),(+340.00%),0.43,MRK,+0.11
DEC 14 115 Call,-23,AGIO141220C00115000,-23,(+34.10%),(-48.90%),2.75,AGIO,+0.70
DEC 14 37 Call,+199,OC141220C00037000,+199,(+33.30%),(+19900.00%),0.60,OC,+0.15
DEC 14 46 Call,+47,NDAQ141220C00046000,+47,(+33.30%),(+940.00%),0.60,NDAQ,+0.15
JAN 15 101 Call,-105,XRT150117C00101000,-105,(+33.30%),(-72.90%),0.28,XRT,+0.07
JAN 15 85 Call,+2,MMP150117C00085000,+2,(+33.30%),(+15.40%),2.00,MMP,+0.50
JAN 16 27.5 Call,+15,CVRR160115C00027500,+15,(+33.30%),0.00%,0.80,CVRR,+0.20
JAN 15 25 Call,-37,VIPS150117C00025000,-37,(+33.30%),(-61.70%),0.40,VIPS,+0.10
DEC 14 30 Call,+11,KS141220C00030000,+11,(+33.30%),(+220.00%),1.60,KS,+0.40
DEC 14 35 Call,+11,ACAT141220C00035000,+11,(+33.30%),0.00%,0.40,ACAT,+0.10
DEC 14 46 Put,"+3,146",XLU141220P00046000,"3,240",(-3.90%),(+3346.80%),0.62,XLU,-0.03
JAN 15 70 Call,"+3,179",M150117C00070000,"3,195",(-51.90%),(+19868.80%),0.13,M,-0.14
DEC 14 50.5 Call,"+3,109",XLB141220C00050500,"3,125",(+18.60%),(+19431.30%),0.26,XLB,+0.04
APR 15 37.5 Call,"+3,109",ATI150417C00037500,"3,110",(+11.70%),(+310900.00%),1.68,ATI,+0.18
JAN 15 30 Call,+996,WTW150117C00030000,"3,103",(-21.10%),(+47.30%),0.75,WTW,-0.20
JAN 15 26 Call,"+3,046",UNG150117C00026000,"3,077",(-42.10%),(+9825.80%),0.11,UNG,-0.08
JAN 15 95 Call,"+1,413",XOM150117C00095000,"3,050",(-11.60%),(+86.30%),1.94,XOM,-0.26
JAN 15 35 Call,"+1,743",ASHR150117C00035000,"3,043",(+342.90%),(+134.10%),1.55,ASHR,+1.20
DEC 14 55 Put,"+3,027",KMX141220P00055000,"3,030",(-18.90%),(+100900.00%),0.75,KMX,-0.18
APR 15 29 Call,"+3,005",GT150417C00029000,"3,012",(-1.80%),(+42928.60%),1.35,GT,-0.02
JAN 15 36 Put,"+3,000",SEE150117P00036000,"3,000",(-25.00%),0.00%,0.22,SEE,-0.08
APR 15 27.5 Put,"+2,956",HAL150417P00027500,"2,996",(-7.80%),(+7390.00%),0.36,HAL,-0.03
JAN 15 22 Call,"-3,346",JNPR150117C00022000,"2,971",(-9.30%),(-53.00%),0.98,JNPR,-0.10
